Name,p/s,m/s,TotalPlayouts
Wolf and Sheep,9199.994660016433,817136.3257068387,276000
Havannah,2170.457742033826,261534.69127088744,65114
Hex,7580.445517729035,815179.6923696703,227414
Connect Four,27680.19366031298,589845.5315723785,830406
Connect6,356.766112332976,66331.43279796807,10704
Dai Hasami Shogi,359.3881759852548,77503.85009233042,10782
Gomoku,7277.196111930661,818895.3115142607,218317
Pente,397.05471918428515,61642.67848869956,11912
Tic-Tac-Toe,116846.35812519789,920886.2993498782,3505391
Yavalath,37978.74891793134,745480.7516119955,1139363
Yavalax,820.727737994622,100052.61788794246,24622
Reversi,871.4645753259788,57877.89443796226,26144
English Draughts,2559.225900488243,247657.88071896177,76777
HopThrough,1347.2433373070487,152826.3869355808,40418
