Name,p/s,m/s,TotalPlayouts
Wolf and Sheep,93217.36400830884,8279750.341023735,2796534
Havannah,24883.120562435182,2997859.8180981064,746503
Hex,133766.3511343669,1.4381228224757057E7,4013007
Connect Four,309327.46504191635,6593055.441622562,9279839
Connect6,1408.370256180201,261980.69596786023,42260
Dai Hasami Shogi,2469.089532899595,530275.828015879,74087
Gomoku,64401.880527830195,7251559.627890648,1932066
Pente,1619.5548133546495,251535.7343815217,48599
Tic-Tac-Toe,1057832.9884236301,8335658.823470211,31735002
Yavalath,282779.53059487004,5549255.359071262,8483395
Yavalax,3868.1065047555994,471157.6839196542,116052
Reversi,10283.23021956856,682959.0939303123,308509
English Draughts,33149.61499655477,3214573.2379107117,994506
HopThrough,11417.107038550868,1296565.2781945867,342523
