Name,p/s,m/s,TotalPlayouts
Connect Four,29291.385485068364,624124.7856516963,878749
Connect6,1100.4266466429606,204463.13022139703,33019
Dai Hasami Shogi,2195.5603560645645,392653.54213009955,65874
English Draughts,12716.851561818828,926791.0768842445,381517
Gomoku,2440.0950959601246,274539.4613680679,73212
Havannah,1654.6176809095778,199470.33562894395,49645
HopThrough,8519.11889884001,694924.1699302837,255582
Hex,2876.8370294158663,309263.96372375067,86311
Pente,1133.4613886368638,173775.5403942883,34012
Reversi,6809.015782654768,424920.65695457207,204277
Tic-Tac-Toe,321909.4004415567,2536743.50206556,9657290
Wolf and Sheep,13406.135190438566,1123684.6767200816,402193
Yavalath,33014.68333926255,648378.5690389568,990449
Yavalax,200.86429603153073,24521.29481294738,6032
