Name,p/s,m/s,TotalPlayouts
Connect Four,3026.603561239422,64574.59812592649,90799
Connect6,157.20519135080713,29181.342788041693,4717
Dai Hasami Shogi,212.2107748257372,37916.63603851973,6367
English Draughts,1032.3857107149652,75539.0877943012,30972
Gomoku,182.49176656154944,20514.57444873133,5475
Havannah,173.9542205321113,20921.46977037371,5219
HopThrough,637.3294887919025,52103.919028599375,19120
Hex,311.1571607116879,33405.279457577475,9335
Pente,87.63025474476471,13378.740896353851,2630
Reversi,466.08035968436315,29095.673927697804,13983
Tic-Tac-Toe,25941.563140343518,204413.77221335456,778247
Wolf and Sheep,1532.1275208595796,128375.52000974293,45965
Yavalath,2567.782847039396,50405.59662058753,77034
Yavalax,28.684973676775478,3472.181134254983,861
