Name,p/s,m/s,TotalPlayouts
Havannah,19158.648023545502,2307484.247794486,574765
Hex,90964.6168268252,9779842.739908502,2728944
Connect Four,206025.45889999438,4392124.493477096,6180771
Connect6,1488.057349228443,276827.8267081055,44648
Dai Hasami Shogi,2624.818139083724,563443.5063987172,78751
Gomoku,69084.51471011626,7778986.6294361325,2072543
Pente,1715.8173856962032,266279.0663006626,51479
Tic-Tac-Toe,919984.0158299457,7249293.819449247,27599527
Yavalath,310055.28857782035,6083529.518396607,9301665
Yavalax,4166.453144477365,507826.037772272,124999
Reversi,11010.489905011389,731250.646751995,330321
HopThrough,12317.757951069754,1398575.9993673721,369541
